No,지역,지역.1,지역.2,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
31,경기,고양시,덕양구,88.947,89.311,89.676,90.061,90.428,90.788,91.152,91.519,91.871,92.219,92.550,92.884,93.231,93.568,93.889,94.216,94.466,94.571,94.642,94.552,94.506,94.483,94.480,94.487,94.502,94.542,94.592,94.659,94.717,94.760,94.890,95.031,95.148,95.329,95.552,95.743,95.934,96.151,96.348,96.576,96.824,97.027,97.238,97.421,97.570,97.765,97.961,98.183,98.372,98.565,98.759,98.942,99.156,99.369,99.587,99.814,100.000,100.190,100.380
32,경기,고양시,일산동구,92.628,92.862,93.169,93.476,93.756,93.981,94.200,94.439,94.659,94.865,95.096,95.337,95.593,95.843,96.092,96.349,96.561,96.729,96.767,96.749,96.744,96.747,96.757,96.771,96.786,96.805,96.813,96.822,96.852,96.920,97.024,97.116,97.211,97.327,97.466,97.594,97.725,97.871,98.025,98.165,98.293,98.406,98.508,98.602,98.681,98.771,98.879,99.002,99.102,99.194,99.298,99.398,99.509,99.628,99.751,99.885,100.000,100.117,100.240
33,경기,고양시,일산서구,92.999,93.260,93.517,93.785,94.006,94.239,94.477,94.686,94.881,95.092,95.340,95.618,95.919,96.199,96.473,96.744,96.950,97.093,97.110,96.955,96.861,96.856,96.834,96.852,96.877,96.915,96.957,97.008,97.046,97.088,97.177,97.258,97.335,97.449,97.576,97.715,97.840,97.979,98.128,98.259,98.383,98.491,98.581,98.660,98.718,98.788,98.889,99.005,99.110,99.228,99.335,99.440,99.544,99.671,99.769,99.887,100.000,100.118,100.232
34,경기,과천시,과천시,85.765,86.384,86.936,87.424,87.790,88.166,88.596,89.013,89.407,89.735,90.092,90.441,90.794,91.138,91.443,91.743,91.934,92.028,92.053,92.009,91.927,91.826,91.743,91.733,91.740,91.748,91.771,91.922,92.060,92.291,92.535,92.788,92.998,93.191,93.406,93.613,93.862,94.105,94.354,94.639,94.909,95.223,95.509,95.778,96.021,96.262,96.519,96.811,97.102,97.461,97.855,98.229,98.591,98.966,99.328,99.670,100.000,100.310,100.657
35,경기,구리시,구리시,88.922,89.193,89.555,89.895,90.273,90.661,91.040,91.420,91.753,92.084,92.478,92.851,93.250,93.660,94.028,94.346,94.574,94.656,94.586,94.535,94.499,94.484,94.488,94.480,94.483,94.489,94.492,94.503,94.513,94.564,94.781,95.007,95.094,95.211,95.330,95.484,95.656,95.823,96.043,96.539,96.828,97.096,97.287,97.516,97.712,97.904,98.098,98.305,98.474,98.631,98.800,98.962,99.132,99.303,99.517,99.792,100.000,100.208,100.437
36,경기,남양주시,남양주시,88.622,88.978,89.357,89.786,90.286,90.728,91.156,91.600,91.979,92.367,92.737,93.114,93.498,93.875,94.215,94.511,94.700,94.855,94.943,95.014,95.016,94.992,95.004,95.028,95.051,95.085,95.123,95.182,95.274,95.381,95.568,95.758,95.900,96.046,96.183,96.341,96.493,96.669,96.888,97.091,97.260,97.427,97.576,97.732,97.923,98.082,98.259,98.421,98.576,98.757,98.944,99.122,99.303,99.478,99.647,99.818,100.000,100.190,100.403
37,경기,오산시,오산시,89.057,89.358,89.680,89.960,90.275,90.578,90.866,91.169,91.424,91.652,91.954,92.204,92.483,92.772,93.024,93.273,93.489,93.607,93.723,93.748,93.746,93.747,93.749,93.775,93.838,93.910,93.987,94.140,94.290,94.459,94.641,94.913,95.188,95.428,95.660,95.895,96.137,96.375,96.609,96.824,97.046,97.251,97.468,97.674,97.886,98.103,98.333,98.570,98.803,99.018,99.254,99.386,99.534,99.650,99.777,99.883,100.000,100.112,100.215
38,경기,시흥시,시흥시,86.592,87.109,87.703,88.240,88.775,89.339,89.813,90.270,90.718,91.064,91.446,91.815,92.174,92.538,92.883,93.207,93.443,93.578,93.664,93.698,93.741,93.751,93.774,93.797,93.825,93.851,93.872,93.969,94.046,94.194,94.352,94.521,94.666,94.826,94.984,95.152,95.391,95.607,95.811,96.072,96.323,96.582,96.809,97.103,97.343,97.571,97.816,98.060,98.266,98.493,98.724,98.956,99.174,99.387,99.596,99.801,100.000,100.195,100.404
39,경기,군포시,군포시,89.338,89.636,89.963,90.327,90.696,91.047,91.403,91.746,92.069,92.383,92.681,92.992,93.276,93.577,93.869,94.155,94.347,94.471,94.550,94.581,94.575,94.579,94.563,94.552,94.545,94.548,94.550,94.657,94.766,94.975,95.193,95.374,95.531,95.691,95.848,95.998,96.187,96.367,96.552,96.733,96.909,97.102,97.288,97.480,97.664,97.847,98.039,98.232,98.438,98.649,98.842,99.032,99.219,99.404,99.587,99.799,100.000,100.198,100.395
40,경기,의왕시,의왕시,88.292,88.673,89.041,89.489,89.942,90.348,90.685,90.991,91.292,91.560,91.851,92.112,92.407,92.710,93.002,93.283,93.480,93.604,93.676,93.694,93.675,93.653,93.643,93.631,93.633,93.639,93.646,93.748,93.843,94.004,94.163,94.315,94.466,94.621,94.786,94.976,95.154,95.343,95.535,95.733,95.919,96.306,96.696,97.007,97.249,97.471,97.676,97.886,98.102,98.323,98.530,98.747,98.985,99.235,99.479,99.742,100.000,100.260,100.529
41,경기,하남시,하남시,85.006,85.495,85.969,86.534,87.120,87.548,88.008,88.386,88.757,89.179,89.577,89.986,90.417,90.834,91.213,91.585,91.917,92.014,92.096,92.125,92.143,92.190,92.250,92.332,92.388,92.474,92.566,92.723,92.926,93.143,93.337,93.542,93.753,93.947,94.156,94.390,94.647,94.865,95.107,95.384,95.671,95.947,96.182,96.434,96.656,96.919,97.169,97.434,97.671,97.909,98.191,98.450,98.757,99.089,99.411,99.702,100.000,100.271,100.573
42,경기,용인시,용인시,84.803,85.100,85.389,85.721,86.060,86.380,86.709,87.024,87.318,87.594,87.885,88.195,88.507,88.809,89.095,89.361,89.598,89.743,89.859,89.941,89.990,90.063,90.339,90.596,90.884,91.190,91.475,91.947,92.257,92.613,92.945,93.265,93.582,93.839,94.128,94.430,94.757,95.051,95.359,95.663,95.945,96.241,96.490,96.808,97.091,97.358,97.603,97.879,98.126,98.389,98.639,98.868,99.108,99.331,99.542,99.776,100.000,100.223,100.445
43,경기,용인시,처인구,80.624,80.899,81.154,81.360,81.570,81.809,82.059,82.280,82.497,82.718,82.971,83.211,83.465,83.705,83.945,84.192,84.418,84.522,84.623,84.698,84.762,84.830,85.431,85.966,86.516,87.075,87.599,88.490,88.943,89.390,89.872,90.339,90.870,91.325,91.777,92.195,92.626,93.063,93.463,93.879,94.294,94.701,95.104,95.637,96.108,96.498,96.845,97.217,97.570,97.903,98.260,98.591,98.902,99.184,99.446,99.727,100.000,100.293,100.592
44,경기,용인시,기흥구,86.539,86.882,87.215,87.634,88.061,88.417,88.788,89.140,89.525,89.856,90.204,90.593,90.960,91.307,91.642,91.923,92.157,92.327,92.435,92.528,92.597,92.665,92.736,92.804,92.904,93.083,93.242,93.509,93.774,94.144,94.399,94.645,94.847,94.940,95.132,95.377,95.669,95.887,96.181,96.464,96.681,96.957,97.125,97.318,97.499,97.705,97.888,98.143,98.340,98.588,98.782,98.949,99.158,99.362,99.552,99.790,100.000,100.186,100.360
45,경기,용인시,수지구,88.655,88.920,89.196,89.588,89.993,90.385,90.774,91.179,91.452,91.736,91.999,92.297,92.614,92.947,93.230,93.499,93.760,93.929,94.087,94.165,94.162,94.254,94.329,94.419,94.574,94.657,94.750,94.868,95.022,95.212,95.421,95.618,95.791,95.989,96.169,96.370,96.592,96.788,96.983,97.167,97.339,97.502,97.639,97.812,97.964,98.135,98.316,98.478,98.642,98.826,98.998,99.166,99.344,99.503,99.668,99.829,100.000,100.173,100.354
46,경기,파주시,파주시,92.494,92.704,92.936,93.211,93.427,93.644,93.858,94.054,94.266,94.474,94.707,94.932,95.212,95.478,95.733,96.017,96.254,96.396,96.446,96.364,96.301,96.279,96.274,96.276,96.312,96.347,96.399,96.459,96.510,96.562,96.631,96.708,96.777,96.908,97.060,97.219,97.348,97.478,97.613,97.726,97.842,97.961,98.056,98.174,98.268,98.396,98.560,98.720,98.854,99.002,99.143,99.281,99.436,99.586,99.717,99.864,100.000,100.141,100.298
47,경기,이천시,이천시,91.029,91.312,91.584,91.864,92.149,92.417,92.695,92.951,93.196,93.457,93.723,93.985,94.258,94.532,94.888,95.230,95.517,95.697,95.833,95.881,95.858,95.843,95.834,95.829,95.874,95.933,95.985,96.037,96.088,96.143,96.189,96.239,96.336,96.480,96.673,96.849,97.005,97.184,97.363,97.534,97.698,97.834,98.000,98.163,98.305,98.450,98.603,98.758,98.905,99.040,99.181,99.311,99.449,99.573,99.712,99.861,100.000,100.140,100.293
48,경기,안성시,안성시,91.534,91.774,92.048,92.288,92.520,92.754,93.006,93.266,93.521,93.756,93.985,94.239,94.495,94.774,95.042,95.317,95.556,95.710,95.811,95.862,95.886,95.900,95.924,95.952,95.987,96.017,96.087,96.212,96.338,96.530,96.712,96.895,97.085,97.271,97.458,97.637,97.824,98.003,98.157,98.303,98.437,98.571,98.700,98.836,98.968,99.111,99.251,99.348,99.426,99.520,99.614,99.685,99.778,99.850,99.938,100.010,100.000,100.069,100.179
49,경기,김포시,김포시,90.484,90.744,91.040,91.385,91.729,91.990,92.249,92.510,92.732,92.966,93.208,93.474,93.755,94.021,94.288,94.556,94.769,94.905,95.009,95.094,95.157,95.230,95.305,95.375,95.456,95.528,95.567,95.616,95.668,95.719,95.825,95.930,96.066,96.240,96.422,96.594,96.783,96.961,97.148,97.319,97.478,97.616,97.752,97.861,97.953,98.112,98.282,98.461,98.610,98.773,98.947,99.113,99.273,99.448,99.628,99.815,100.000,100.172,100.350
